Sentence
" Common sugars include:  - Glucose  - Fructose  - Galactose  - <b><font color=""purple"">Sucrose</font></b> (common <b><font color=""purple"">table sugar</font></b>)  - <b><font color=""purple"">Lactose</font></b> (milk <b><font color=""purple"">sugar</font></b>)  - Maltose (product of starch <b><font color=""purple"">digestion</font></b>)    Sugars are found naturally in milk products (<b><font color=""purple"">lactose</font></b>) and fruits (fructose).		"
" <b><font color=""purple"">Sucrose</font></b> (<b><font color=""purple"">table sugar</font></b>):   - Sucrose is made from a low-sugar beet juice or sugar cane.		"
" - Confectioner's sugar (also known as powdered <b><font color=""purple"">sugar</font></b>) is finely ground <b><font color=""purple"">sucrose</font></b>.		"
" - These <b><font color=""purple"">sweeteners</font></b> are used as an <b><font color=""purple"">ingredient</font></b> in many food products that are labeled ""sugar-free"", ""diabetic"", or ""low carb"".		"
" These <b><font color=""purple"">sweeteners</font></b> are absorbed by the body at a much slower rate than <b><font color=""purple"">sugar</font></b>.		"
" <b><font color=""purple"">Sugar alcohol</font></b> may cause <b><font color=""purple"">stomach cramps</font></b> and <b><font color=""purple"">diarrhea</font></b> in some <b><font color=""purple"">people</font></b>.		"
" - <b><font color=""purple"">Erythritol</font></b> is a naturally occurring <b><font color=""purple"">sugar alcohol</font></b> found in fruit and fermented foods.		"
" Unlike other <b><font color=""purple"">sugar alcohols</font></b>, it does not cause <b><font color=""purple"">stomach upset</font></b>.		"
" Other types of natural <b><font color=""purple"">sugars</font></b>:   - Dextrose is <b><font color=""purple"">glucose</font></b> combined with <b><font color=""purple"">water</font></b>.		"
" - <b><font color=""purple"">Lactose</font></b> (milk <b><font color=""purple"">sugar</font></b>) is the <b><font color=""purple"">carbohydrate</font></b> that is in milk.		"
" - <b><font color=""purple"">Maltose</font></b> (malt <b><font color=""purple"">sugar</font></b>) is produced during fermentation.		"
" - <b><font color=""purple"">Maple</font></b> <b><font color=""purple"">sugar</font></b> comes from the <b><font color=""purple"">sap</font></b> of maple <b><font color=""purple"">trees</font></b>.		"
" <b><font color=""purple"">Sugar</font></b> and other sweeteners with calories can lead to <b><font color=""purple"">tooth decay</font></b>.		"
" Large amounts of <b><font color=""purple"">sugar-containing foods</font></b> lead to <b><font color=""purple"">obesity</font></b> in <b><font color=""purple"">children</font></b> and <b><font color=""purple"">adults</font></b>.		"
" <b><font color=""purple"">Sugar alcohols</font></b> such as <b><font color=""purple"">sorbitol</font></b>, <b><font color=""purple"">mannitol</font></b>, and <b><font color=""purple"">xylitol</font></b> may cause <b><font color=""purple"">stomach cramps</font></b> and <b><font color=""purple"">diarrhea</font></b> when eaten in large amounts.		"
" - Eat less candy and sweet <b><font color=""purple"">desserts</font></b> such as <b><font color=""purple"">ice cream</font></b>, cookies, and cakes.		"
" If you have diabetes:  - <b><font color=""purple"">Sugars</font></b> affect <b><font color=""purple"">blood glucose</font></b> control the same as other <b><font color=""purple"">carbohydrates</font></b> when eaten at meals or snacks.		"
" - Foods that contain <b><font color=""purple"">sugar alcohols</font></b> may have fewer calories, but be sure to read the labels for the <b><font color=""purple"">carbohydrate</font></b> content of these foods.		"
