Sentence
" <b><font color=""purple"">Caffeine</font></b> is a substance that is found in certain <b><font color=""purple"">plants</font></b>.		"
" <b><font color=""purple"">Caffeine</font></b> may be used for the short-term relief of <b><font color=""purple"">fatigue</font></b> or <b><font color=""purple"">drowsiness</font></b>.		"
" It is found naturally in the leaves, seeds, and fruits of more than 60 plants, including:  - Tea leaves  - Kola nuts  - Coffee  - Cocoa beans    It is also found in processed foods:  - Coffee - 100 mg per cup  - Tea - 14 mg to 60 mg per cup  - Chocolate - 45 mg in 1.5 oz. bar  - Most colas (unless they are labeled ""caffeine-free"") - 45 mg in 12 oz. drink  - Candies, energy drinks, snacks, gum - 40 to 100 mg per serving    <b><font color=""purple"">Caffeine</font></b> is often added to over-the-counter <b><font color=""purple"">medications</font></b> such as <b><font color=""purple"">pain relievers</font></b>, over-the-counter diet <b><font color=""purple"">pills</font></b>, and cold medicines.		"
" Caffeine can lead to:  - A fast heart rate  - Anxiety  - Depression  - Difficulty sleeping  - Nausea  - Restlessness  - Tremors  - Urinating more often  - Vomiting    Stopping <b><font color=""purple"">caffeine</font></b> suddenly may cause <b><font color=""purple"">withdrawal symptoms</font></b>.		"
" - Large amounts of caffeine may stop the absorption of <b><font color=""purple"">calcium</font></b> and lead to thinning <b><font color=""purple"">bones</font></b> (osteoporosis).		"
" - <b><font color=""purple"">Caffeine</font></b> may lead to painful, <b><font color=""purple"">lumpy breasts</font></b> (fibrocystic disease).		"
" - Four 8 oz. cups of brewed or drip coffee (about 400 mg of caffeine) or 5 servings of caffeinated soft drinks or tea (about 165 to 235 mg of caffeine) per day is an average or moderate amount of <b><font color=""purple"">caffeine</font></b> for most <b><font color=""purple"">people</font></b>.		"
" (However, it should be noted that 5 servings of regular soft <b><font color=""purple"">drinks</font></b> is over 700 calories and can contribute to <b><font color=""purple"">obesity</font></b>.)		"
" - You are a <b><font color=""purple"">woman</font></b> with painful, <b><font color=""purple"">lumpy breasts</font></b>.		"
" <b><font color=""purple"">Caffeine</font></b> is a <b><font color=""purple"">stimulant</font></b> and a hyperactive child may need to avoid it.		"
" <b><font color=""purple"">Caffeine</font></b> is a <b><font color=""purple"">stimulant</font></b>, so it increases your heart rate and metabolism.		"
" - During pregnancy, 300 mg of <b><font color=""purple"">caffeine</font></b> a day may increase the risk of <b><font color=""purple"">miscarriage</font></b>.		"
" Many <b><font color=""purple"">drugs</font></b> will interact with <b><font color=""purple"">caffeine</font></b>.		"
