Sentence
"	<b><font color=""purple"">Douglas Gerald Hurley</font></b> (born October 21, 1966) is an engineer and <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> piloted Space Shuttle mission <b><font color=""purple"">STS-127</font></b>, which launched July 15, 2009.	"
"	<b><font color=""purple"">He</font></b> was assigned and flew as pilot for <b><font color=""purple"">STS-135</font></b>, the final flight of <b><font color=""purple"">the Space Shuttle program</font></b>, in July 2011.	"
"	<b><font color=""purple"">He</font></b> is also the first Marine to fly the F/A-18 E/F Super Hornet.	"
"	<b><font color=""purple"">Hurley</font></b> was born on October 21, 1966 in <b><font color=""purple"">Endicott</font></b>, <b><font color=""purple"">New York</font></b>.	"
"	<b><font color=""purple"">He</font></b> graduated from the Owego <b><font color=""purple"">Free Academy</font></b> in Owego, <b><font color=""purple"">New York</font></b> in 1984.	"
"	<b><font color=""purple"">He</font></b> graduated magna cum laude with honors from Tulane University, earning his B.S.E. in civil engineering in 1988.	"
"	<b><font color=""purple"">He</font></b> was also a distinguished graduate from both Tulane's NROTC program and from <b><font color=""purple"">USMC</font></b> Officer Candidates School.	"
	null	
"	After graduation, he attended <b><font color=""purple"">The Basic School</font></b> at <b><font color=""purple"">Marine Corps Base Quantico</font></b>, <b><font color=""purple"">Virginia</font></b>, and later the Infantry Officers Course.	"
	null	
"	<b><font color=""purple"">Hurley</font></b> then reported to VMFAT-101 at Marine Corps Air Station El Toro, California, for initial F/A-18 Hornet training.	"
"	Upon completion of training, he was assigned to VMFA(AW)-225 where he made three overseas deployments to the Western Pacific.	"
	null	
"	Over his four and a half years with the Vikings, he served as the aviation safety officer and the pilot training officer.	"
	null	
"	After graduation in December 1997, he was assigned to the <b><font color=""purple"">Naval</font></b> Strike Aircraft <b><font color=""purple"">Test</font></b> Squadron (<b><font color=""purple"">VX-23</font></b>) as an F/A-18 project officer and <b><font color=""purple"">test pilot</font></b>.	"
	null	
"	<b><font color=""purple"">He</font></b> was serving as the operations officer when selected for the astronaut program.	"
"	<b><font color=""purple"">Hurley</font></b> has logged over 3,200 hours in more than 22 aircraft.	"
"	Selected as a pilot by <b><font color=""purple"">NASA</font></b> in July 2000, <b><font color=""purple"">Hurley</font></b> reported for training in August 2000.	"
	null	
	null	
"	More recently he served as the <b><font color=""purple"">NASA</font></b> director of operations at the Gagarin Cosmonaut Training Center in Star City, Russia.	"
	null	
"	<b><font color=""purple"">Hurley</font></b> is a recipient of the Stephen A. Hazelrigg Memorial Award for best Test Pilot/Engineer Team, Naval Strike Aircraft Test Squadron.	"
"	<b><font color=""purple"">He</font></b> was awarded <b><font color=""purple"">the Meritorious Service Medal</font></b>, two Navy and <b><font color=""purple"">Marine Corps</font></b> <b><font color=""purple"">Commendation</font></b> <b><font color=""purple"">Medals</font></b>, and various other service awards.	"
"	<b><font color=""purple"">He</font></b> received the <b><font color=""purple"">NASA</font></b> Superior Accomplishment Award in 2004, 2005, 2006 and 2007.	"
"	<b><font color=""purple"">Hurley</font></b> is married to fellow <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Karen Nyberg</font></b>.	"
	They have one son.	
	They are in a Shared Earning/Shared Parenting Marriage.	
	List of married couples among space travelers	
